RID,NCBI_GeneID,NCBI_Symbol,count,rank,Group,Specimen,Probe,Antibody_Test,Allele,Anchor_Gene,Marker_Gene,Mouse_Strain
Q-46K4,11827,Aqp2,25,1,Chaise,25,25,0,0,0,0,0
Q-4E10,18999,Pou5f1,25,2,SSR,25,25,0,25,0,0,0
Q-5CPA,68567,Cgref1,25,3,Dataset,25,25,0,0,0,25,0
Q-3QNP,2297,FOXD1,24,4,Chaise,24,24,24,0,0,0,0
Q-46B4,11622,Ahr,24,5,SSR,24,24,0,0,0,0,0
Q-46QR,11931,Atp1b1,24,6,Dataset,24,24,0,0,0,0,0
Q-4858,13074,Cyp17a1,24,7,Chaise,24,24,0,0,0,0,0
Q-48D6,13345,Twist2,24,8,SSR,24,24,0,0,0,0,0
Q-48K0,13496,Arid3a,24,9,Dataset,24,24,0,0,0,0,0
Q-496G,14165,Fgf10,24,10,Chaise,24,24,0,0,0,0,0
Q-49NT,14585,Gfra1,24,11,SSR,24,24,0,0,0,0,0
Q-4A3T,14933,Gk,24,12,Dataset,24,24,0,0,0,24,0
Q-4ASW,15903,Id3,24,13,Chaise,24,24,0,24,0,0,24
Q-4C2A,17121,Mxd3,24,14,SSR,24,24,0,0,0,0,0
Q-4D6E,18213,Ntrk3,24,15,Dataset,24,24,0,0,0,0,0
Q-4FFG,20238,Atxn1,24,16,Chaise,24,24,0,0,0,0,0
Q-4FKC,20322,Sord,24,17,SSR,24,24,0,0,24,24,0
Q-4H72,21410,Hnf1b,24,18,Dataset,24,24,0,0,0,0,0
Q-4H7P,21419,Tfap2b,24,19,Chaise,24,24,0,0,0,0,0
Q-4J8T,22419,Wnt5b,24,20,SSR,24,24,0,0,0,0,0
Q-4XZJ,54419,Cldn6,24,21,Dataset,24,24,0,0,0,0,0
Q-4Y0T,54446,Nfat5,24,22,Chaise,24,24,0,0,0,0,0
Q-508M,55990,Fmo2,24,23,SSR,24,24,0,0,24,24,0
Q-5G2T,71664,Mettl7b,24,24,Dataset,24,24,0,0,24,24,0
Q-5Z04,94224,Srd5a2,24,25,Chaise,24,24,0,24,0,0,24
Q-61RY,104099,Itga9,24,26,SSR,24,24,0,0,0,0,0
Q-64SY,109019,Nabp1,24,27,Dataset,24,24,0,0,0,0,0
Q-6KZC,218772,Rarb,24,28,Chaise,24,24,0,0,0,0,0
Q-6XG2,272322,Arntl2,24,29,SSR,24,24,0,0,0,0,0
Q-3NGJ,999,CDH1,22,30,Dataset,22,22,22,0,0,0,0
Q-3ZZP,7369,UMOD,22,31,Chaise,22,22,0,0,0,0,0
Q-4F3M,19737,Rgs5,22,32,SSR,22,22,0,0,0,0,0
Q-4FW6,20508,Slc18a3,22,33,Dataset,22,22,0,0,0,0,0
Q-5BQA,67758,Aadac,22,34,Chaise,22,22,0,0,0,22,0
Q-6A2Y,114142,Foxp2,22,35,SSR,22,22,0,0,0,0,0
